Gene ,Exons (codons) tested
ERCC2 (NM_000400),"3 (36-47), 5 (84-114), 8 (223-240), 15 (460-492), 21 (658-682)"
ESR1 (NM_000125),"1 (1-42), 1 (53-99), 2 (184-215), 3 (232-254), 4 (268-340), 5 (367-412), 7 (457-518), 8 (532-574)"
EZH2 (NM_004456),"16 (639-649), 18 (677-704)"
FANCA (NM_000135),1-43 (1-1456)
FANCD2 (NM_033084),"2-15 (1-409), 15-19 (423-589), 21-28 (610-904), 29 (906-927), 29-43 (948-1472)"
FANCI (NM_018193),2-37 (1-1269)
FBXW7 (NM_033632),"2-4 (1-242), 5-9 (255-473), 10 (478-509), 10-12 (522-708)"
FGF19 (NM_005117),"1 (1-33), 2-3 (78-217)"
FGF3 (NM_005247),"1-3 (1-217), 3 (229-240)"
FGFR1 (NM_015850),"4 (120-148), 6 (217-247), 8 (311-355), 9 (408-426), 12 (516-553), 14 (642-657), 16 (709-727), 18 (786-821)"
FGFR2 (NM_000141),"6 (209-235), 7 (250-273), 7-8 (277-350), 9 (362-399), 10 (453-480), 12 (521-558), 13 (589-621), 14-15 (631-686), 16 (699-730), 18 (768-804)"
FGFR3 (NM_000142),"2 (1-37), 4 (127-133), 8 (329-359), 9 (368-412), 10 (423-439), 14 (633-653), 15-16 (659-719)"
FGFR4 (NM_022963),"1 (1-31), 2 (72-116), 4 (163-199), 6 (243-283), 8 (359-392), 10-11 (467-535), 13 (609-632), 15 (683-713)"
FLT3 (NM_004119),"3 (93-123), 6 (205-213), 8 (302-346), 10 (402-435), 12 (502-533), 15 (613-648), 18 (742-764), 20-21 (808-885), 24 (957-994)"
FOXL2 (NM_023067),1 (94-137)
GATA2 (NM_032638),"4 (291-330), 5 (341-379), 6 (452-481)"
GNA11 (NM_002067),"4 (165-196), 5 (205-240)"
GNAQ (NM_002072),"2 (60-100), 4-5 (163-224)"
GNAS (NM_000516),"8 (196-218), 9 (220-240)"
H3-3A (NM_002107),2 (1-36)
H3C2 (NM_003537),"1 (6-37), 1 (61-102)"
HNF1A (NM_000545),"2 (109-116), 3 (196-238)"
HRAS (NM_005343),"2 (6-34), 3 (44-87), 4 (97-150)"
IDH1 (NM_005896),4 (100-138)
IDH2 (NM_002168),"4 (125-155), 4 (162-178)"
IGF1R (NM_000875),"1 (1-32), 2 (138-176), 4 (318-328), 6 (416-457), 8 (572-608), 10 (674-711), 12 (829-865), 14 (928-946), 17 (1063-1099), 20 (1196-1220)"
JAK1 (NM_002227),"14 (634-663), 15-16 (668-743)"
JAK2 (NM_004972),14 (600-622)
JAK3 (NM_000215),"11-12 (502-563), 15 (639-683)"
KDR (NM_002253),"11 (482-512), 16 (766-791), 23 (1026-1064), 24 (1082-1102)"
KIT (NM_000222),"8 (411-445), 9 (487-514), 10-20 (516-934)"
KNSTRN (NM_033286),1 (1-28)
KRAS (NM_004985),"2-3 (1-93), 4-5 (97-189)"
MAGOH (NM_002370),5 (114-147)
MAP2K1 (NM_002755),"2 (27-96), 3 (98-135), 6 (190-227), 11 (357-394)"
MAP2K2 (NM_030662),3 (102-123)
MAP2K4 (NM_003010),"4 (132-154), 5 (178-208)"
MAPK1 (NM_002745),7 (300-322)
MAX (NM_002382),"3 (22-56), 4 (58-83)"
MDM2 (NM_002392),"2 (22-33), 3 (51-58), 4 (79-103), 7 (160-175), 8 (198-228), 9 (236-267), 10 (289-306), 11 (340-373), 11 (406-439)"
MDM4 (NM_002393),"2 (1-17), 3 (27-50), 5-6 (96-137), 7 (158-171), 8 (212-224), 9 (229-269), 11 (302-334), 11 (348-386), 11 (428-459)"
MED12 (NM_005120),"2 (34-59), 26 (1199-1227)"
MET (NM_001127500),"2 (151-192), 2 (217-257), 2 (287-331), 2 (344-384), 14 (981-989), 14-21 (1003-1367)"
MLH1 (NM_000249),1-19 (1-757)
MRE11 (NM_005590),"2 (1-7), 3-19 (20-681)"
MSH2 (NM_000251),"1-4 (1-259), 5 (265-307), 6-16 (315-935)"
MSH6 (NM_000179),"1 (1-27), 1-10 (52-1361)"
MTOR (NM_004958),"29 (1418-1443), 30 (1452-1490), 31 (1509-1524), 39 (1789-1803), 40 (1876-1905), 43 (1971-1994), 43-44 (1999-2035), 47-48 (2187-2251), 53 (2394-2434), 56-57 (2483-2520)"
MYC (NM_002467),"1-2 (1-87), 2 (98-131), 2 (140-185), 2 (196-226), 3 (268-278), 3 (297-340), 3 (352-395), 3 (413-453)"
MYCL (NM_005376),"2 (60-96), 2 (163-237)"
MYCN (NM_005378),"2 (1-125), 2-3 (229-349), 3 (371-450)"
MYD88 (NM_002468),"3 (181-221), 5 (259-269)"
NBN (NM_002485),"1-5 (1-195), 6-16 (200-755)"
NF1 (NM_001042492),"1-16 (1-596), 17-23 (616-1038), 25-58 (1071-2840)"
NF2 (NM_000268),"1-10 (1-332), 11-16 (334-596)"
NFE2L2 (NM_006164),"2 (23-59), 2 (74-104)"
NOTCH1 (NM_017617),"2-9 (21-500), 10-15 (519-821), 16-27 (823-1680), 27 (1686-1723), 28-34 (1736-2116), 34 (2145-2556)"
NOTCH2 (NM_024408),"1 (1-25), 3 (68-131), 4 (139-191), 4-34 (193-2472)"
NOTCH3 (NM_000435),"2 (40-48), 3-18 (66-959), 18-24 (969-1292), 24 (1414-1449), 25 (1468-1485), 25-26 (1505-1631), 27-33 (1659-2153), 33 (2163-2322)"
NRAS (NM_002524),"2 (1-22), 3 (49-89), 4 (110-150)"
NTRK1 (NM_002529),"2 (71-92), 3 (106-120), 6 (192-227), 8 (321-393), 11 (418-446), 14 (553-599), 15 (658-682), 17 (747-790)"
NTRK2 (NM_006180),"4 (1-43), 6 (96-120), 9 (197-239), 11 (294-366), 14 (433-466), 16 (490-531), 17 (580-588), 18 (601-641), 19 (674-723), 20 (725-756)"
NTRK3 (NM_002530),"7 (155-161), 10 (303-318), 10 (377-402), 13 (432-456), 14 (472-518), 16 (576-630), 17 (662-711), 19 (808-826)"
PALB2 (NM_024675),"1-3 (1-71), 4-6 (79-862), 7-13 (888-1187)"
PDGFRA (NM_006206),"12-15 (552-719), 17-21 (775-960)"
PDGFRB (NM_002609),"2 (1-14), 3 (99-122), 5 (211-235), 7 (333-370), 9 (450-456), 11 (527-545), 12-13 (587-638), 16 (753-782), 19 (881-900), 22 (969-1009), 23 (1093-1107)"
PIK3CA (NM_006218),"2 (1-5), 2-3 (77-138), 5 (311-351), 8 (418-457), 10-11 (532-582), 14 (693-729), 21 (1015-1057)"
PIK3CB (NM_006219),"1 (31-57), 3 (138-174), 5 (268-294), 7 (400-434), 10 (518-527), 11 (545-586), 14 (679-683), 16 (784-809), 20 (933-954), 22 (1026-1071)"
PIK3R1 (NM_181523),"2-11 (1-437), 11-16 (440-725)"
PMS2 (NM_000535),"1-2 (1-30), 2-5 (35-165), 6-11 (180-657), 12 (669-680), 12-13 (716-726), 15 (855-863)"
POLE (NM_006231),"1-46 (1-2177), 47-49 (2217-2287)"
PPARG (NM_015869),"1 (1-28), 2 (53-78), 3 (104-134), 3 (152-160), 4 (169-200), 5 (207-228), 5 (257-273), 6 (282-321), 6 (350-390), 7 (424-461)"
PPP2R1A (NM_014225),"5 (172-199), 6 (220-263)"
PTCH1 (NM_000264),"1-23 (6-1344), 23 (1374-1448)"
PTEN (NM_000314),1-9 (1-382)
PTPN11 (NM_002834),"3 (52-91), 13 (485-527)"
RAC1 (NM_006908),2 (18-36)
RAD50 (NM_005732),"1-5 (1-244), 6-9 (253-478), 10-16 (485-902), 17-19 (907-980), 19-23 (987-1206), 24-25 (1212-1313)"
RAD51 (NM_002875),"2-4 (1-115), 5-10 (121-340)"
RAD51B (NM_133509),"2-5 (1-113), 5-7 (142-245), 8-11 (253-374)"
RAD51C (NM_002876),1-2 (1-136)
RAD51D (NM_133629),1-7 (1-217)
RAF1 (NM_002880),"7 (235-276), 12 (407-442)"
RB1 (NM_000321),"1-2 (1-85), 3-4 (89-159), 5-6 (167-194), 6-14 (196-463), 16-18 (480-582), 18-21 (587-736), 22-27 (743-929)"
RET (NM_020975),"10-11 (609-654), 12-14 (713-869), 15-18 (875-1013)"
RHEB (NM_005614),2 (18-42)
RHOA (NM_001664),2 (2-44)
RICTOR (NM_152756),"7 (153-175), 10 (291-297), 16 (462-467), 21 (658-684), 26 (834-863), 30 (981-1019), 31 (1210-1246), 32 (1382-1416), 35 (1588-1597), 38 (1690-1709)"
RNF43 (NM_017763),"2-9 (1-442), 9-10 (455-784)"
ROS1 (NM_002944),"36-38 (1926-2045), 39-40 (2050-2092), 40-42 (2106-2245)"
SETD2 (NM_014159),"1-11 (1-1799), 12-21 (1809-2565)"
SF3B1 (NM_012433),"14 (603-640), 14 (655-679), 15 (693-716), 15-16 (738-747)"
SLX4 (NM_032444),"2-5 (1-388), 6-12 (401-1477), 12-15 (1493-1835)"
SMAD4 (NM_005359),"9 (335-375), 10 (380-401), 12 (519-553)"
SMARCA4 (NM_003072),"2-12 (1-644), 13-15 (648-756), 16-19 (759-936), 20-25 (954-1162), 26-35 (1183-1648)"
SMARCB1 (NM_003073),"1-2 (1-72), 3-5 (78-206), 6-9 (210-386)"
SMO (NM_005631),"3 (186-228), 4-5 (263-354), 6 (397-422), 9 (511-551), 11 (608-646)"
SPOP (NM_003563),"5 (88-118), 6 (125-160)"
SRC (NM_005417),12 (374-418)
STAT3 (NM_139276),"13 (398-411), 20 (583-620), 21 (630-667)"
STK11 (NM_000455),"1-3 (1-137), 4-8 (155-361), 9 (370-434)"
TERT (NM_198253),"1 (1-18), 2 (267-310), 2 (394-425), 3 (553-585), 4 (626-650), 6 (718-762), 9 (823-852), 11 (920-948), 14 (1011-1043), 16 (1099-1133)"
TOP1 (NM_003286),20 (682-722)
TP53 (NM_000546),2-11 (1-394)
TSC1 (NM_000368),3-23 (1-1165)
TSC2 (NM_000548),"2-35 (1-1523), 37-42 (1555-1808)"
U2AF1 (NM_006758),"2 (15-41), 6 (137-161)"
XPO1 (NM_003400),15 (563-575)
